TIME,Cp:1
11.5,0.06345301
11.52,0.06282364
11.54,0.06220049
11.56,0.0615835
11.58,0.06097262
11.6,0.06036777
11.62,0.05976891
11.64,0.05917597
11.66,0.05858889
11.68,0.05800763
11.7,0.05743211
11.72,0.05686228
11.74,0.05629809
11.76,0.05573949
11.78,0.05518641
11.8,0.05463881
11.82,0.05409662
11.84,0.0535598
11.86,0.05302829
11.88,0.05250204
11.9,0.051981
11.92,0.05146512
11.94,0.05095435
11.96,0.05044863
11.98,0.04994791
12,0.04945216
12.02,0.04896131
12.04,0.04847533
12.06,0.04799415
12.08,0.04751774
12.1,0.04704605
12.12,0.04657903
12.14,0.04611663
12.16,0.04565882
12.18,0.04520554
12.2,0.04475675
12.22,0.0443124
12.24,0.04387246
12.26,0.04343687
12.28,0.0430056
12.3,0.0425786
12.32,0.04215583
12.34,0.04173725
12.36,0.04132282
12.38,0.0409125
12.4,0.04050624
12.42,0.04010401
12.44,0.03970576
12.46,0.03931146
12.48,0.03892107
12.5,0.03853455
12.52,0.03815186
12.54,0.03777296
12.56,0.03739782
12.58,0.0370264
12.6,0.03665866
12.62,0.03629456
12.64,0.03593407
12.66,0.03557716
12.68,0.03522379
12.7,0.03487392
12.72,0.03452752
12.74,0.03418455
12.76,0.03384499
12.78,0.03350879
12.8,0.03317593
12.82,0.03284637
12.84,0.03252007
12.86,0.03219702
12.88,0.03187716
12.9,0.03156048
12.92,0.03124694
12.94,0.03093651
12.96,0.03062916
12.98,0.03032486
13,0.03002358
13.02,0.02972528
13.04,0.02942995
13.06,0.02913754
13.08,0.02884804
13.1,0.02856141
13.12,0.02827762
13.14,0.02799665
13.16,0.02771846
13.18,0.02744304
13.2,0.02717035
13.22,0.02690036
13.24,0.02663306
13.26,0.02636841
13.28,0.02610638
13.3,0.02584695
13.32,0.0255901
13.34,0.0253358
13.36,0.02508402
13.38,0.02483474
13.4,0.02458794
13.42,0.02434358
13.44,0.02410165
13.46,0.02386212
13.48,0.02362497
13.5,0.02339017
13.52,0.02315771
13.54,0.02292755
13.56,0.02269968
13.58,0.02247406
13.6,0.02225069
13.62,0.02202954
13.64,0.02181058
13.66,0.0215938
13.68,0.02137917
13.7,0.02116666
13.72,0.02095627
13.74,0.02074797
13.76,0.02054174
13.78,0.02033755
13.8,0.0201354
13.82,0.01993525
13.84,0.01973708
13.86,0.01954089
13.88,0.01934664
13.9,0.01915432
13.92,0.01896392
13.94,0.0187754
13.96,0.01858875
13.98,0.01840396
14,0.01822101
14.02,0.01803987
14.04,0.01786053
14.06,0.01768297
14.08,0.01750718
14.1,0.01733313
14.12,0.01716081
14.14,0.0169902
14.16,0.01682129
14.18,0.01665406
14.2,0.01648848
14.22,0.01632455
14.24,0.01616225
14.26,0.01600156
14.28,0.01584247
14.3,0.01568496
14.32,0.01552901
14.34,0.01537462
14.36,0.01522175
14.38,0.01507041
14.4,0.01492057
14.42,0.01477222
14.44,0.01462534
14.46,0.01447992
14.48,0.01433594
14.5,0.0141934
14.52,0.01405227
14.54,0.01391255
14.56,0.01377421
14.58,0.01363725
14.6,0.01350165
14.62,0.01336739
14.64,0.01323448
14.66,0.01310288
14.68,0.01297259
14.7,0.01284359
14.72,0.01271587
14.74,0.01258943
14.76,0.01246424
14.78,0.0123403
14.8,0.01221758
14.82,0.01209609
14.84,0.0119758
14.86,0.01185671
14.88,0.01173881
14.9,0.01162207
14.92,0.0115065
14.94,0.01139207
14.96,0.01127878
14.98,0.01116662
15,0.01105557
15.02,0.01094562
15.04,0.01083677
15.06,0.010729
15.08,0.0106223
15.1,0.01051667
15.12,0.01041208
15.14,0.01030853
15.16,0.01020601
15.18,0.01010451
15.2,0.01000402
15.22,0.00990453
15.24,0.00980602
15.26,0.0097085
15.28,0.00961195
15.3,0.00951635
15.32,0.00942171
15.34,0.009328
15.36,0.00923523
15.38,0.00914338
15.4,0.00905244
15.42,0.00896241
15.44,0.00887327
15.46,0.00878502
15.48,0.00869765
15.5,0.00861114
15.52,0.00852549
15.54,0.0084407
15.56,0.00835675
15.58,0.00827363
15.6,0.00819134
15.62,0.00810987
15.64,0.00802921
15.66,0.00794935
15.68,0.00787028
15.7,0.007792
15.72,0.0077145
15.74,0.00763777
15.76,0.0075618
15.78,0.00748659
15.8,0.00741212
15.82,0.0073384
15.84,0.00726541
15.86,0.00719314
15.88,0.00712159
15.9,0.00705076
15.92,0.00698062
15.94,0.00691119
15.96,0.00684245
15.98,0.00677439
16,0.006707
16.02,0.00664029
16.04,0.00657424
16.06,0.00650884
16.08,0.0064441
