TIME,Cp[0]:1,Cp[1]:1,Cp[2]:1,Cp[3]:1,Cp[4]:1,Cp[5]:1,Cp[6]:1,Cp[7]:1,Cp[8]:1,Cp[9]:1,Cp[10]:1,Cp[11]:1,Cp[12]:1,Cp[13]:1,Cp[14]:1,Cp[15]:1,Cp[16]:1,Cp[17]:1,Cp[18]:1,Cp[19]:1,Cp[20]:1
5.18,1.48662875,1.64351042,1.55469517,1.53842703,1.288645,1.2813874,1.29822806,1.38749903,1.32874203,1.30298346,1.47149547,1.2784879,1.07841227,1.53623731,1.24827869,1.29690791,1.49395647,1.37120109,1.36635153,1.38223285,1.34721513
5.2,1.37571614,1.43770995,1.18201455,1.36168164,1.48163222,1.45046213,1.31274031,1.31592358,1.41092983,1.27983664,1.20843922,1.47618016,1.23324156,1.56226119,1.43248876,1.40507731,1.20755405,0.99250129,1.28148245,1.28762448,1.17729961
5.22,1.44419057,1.4346425,1.4240173,1.73062585,1.26327703,1.28737422,1.22446122,1.2272346,1.4943749,1.43728497,1.4717685,1.22561534,1.17143843,1.41508514,1.26526636,1.21303351,1.59116236,1.31233069,1.58242147,1.45671922,1.21949239
5.24,1.50744093,1.64508742,1.20851401,1.55755055,1.64804618,1.39603466,1.29204015,1.61525352,1.5946652,1.423666,1.21223596,1.16524903,1.42286931,1.52715837,1.46387946,1.53202351,1.43381911,1.34879423,1.17001833,1.20636113,1.34987975
5.26,1.38550052,1.26612014,1.37424881,1.30642808,1.20419459,1.26111249,1.12564546,1.11208644,1.46256149,1.3869973,1.13975792,1.27456033,1.32126999,1.4666042,1.42886501,1.35835092,1.31261385,1.3255163,1.45211044,1.3558075,1.29650355
5.28,1.07140538,1.21305152,1.41022191,1.0658367,1.26448764,1.38442236,1.27489104,1.34284446,1.44144741,1.3005029,1.37732156,1.3271502,1.49461736,1.29239749,1.46381673,1.37878219,1.47792427,1.35700831,1.28673439,1.25080962,1.25906663
5.3,1.30510678,1.1339105,1.08756682,1.42624364,0.91875668,1.15806377,1.4510183,1.2712155,1.33506408,1.2124401,1.37004726,1.0726184,1.21153075,1.38416495,1.35798357,1.45640601,1.32191168,1.23572435,1.25009125,1.34115832,1.41082269
5.32,1.36870673,1.1667811,1.23436912,1.27011699,1.29209213,1.19151993,1.42513214,1.40710573,1.34070976,1.09770887,1.55574332,1.43068054,1.34571013,1.23341985,1.32460064,1.38264177,1.50271841,1.28186002,1.30140424,1.2058706,1.45247215
5.34,1.20819682,1.44252085,1.3387587,1.05215922,1.31214012,1.20946089,1.41183361,1.38648972,1.31083221,1.41251785,1.2486419,1.28153866,1.02558413,1.3339288,1.27331578,1.23312816,1.38036126,1.30732742,1.34748415,1.44178925,1.33484656
5.36,1.28114623,1.02010791,1.35971499,1.36383907,1.33747644,1.31512603,1.13685378,1.47782607,1.28264487,1.41042079,1.27435342,1.3436492,1.10576542,1.62744845,1.17030602,1.32671764,1.29727446,1.38195619,1.28532242,1.09770235,1.46014175
